City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
634,Mount Isa,AU,89.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
635,Umm Lajj,SA,75.45,clear sky,25.0213,37.2685,Moon light Furnished Units
637,Irituia,BR,76.42,moderate rain,-1.7711,-47.4381,Hotel Irituia
642,Acarau,BR,81.07,heavy intensity rain,-2.8856,-40.12,castelo pizzaria
644,Coihueco,CL,75.94,few clouds,-36.6167,-71.8333,Frutillares Coihueco
645,Alappuzha,IN,77.95,scattered clouds,9.49,76.3264,Panoramic Sea Resort
646,Grand-Santi,GF,73.51,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
653,Kalmunai,LK,76.69,broken clouds,7.4167,81.8167,VS Villa
654,Trinidad,BO,85.98,heavy intensity rain,-14.8333,-64.9,Hotel Piesta
656,Teahupoo,PF,78.76,few clouds,-17.8333,-149.2667,Vanira Lodge
657,Jega,NG,77.76,few clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
662,Coolum Beach,AU,79.34,clear sky,-26.5333,153.1,Palmer Coolum Resort
667,Madre De Deus,BR,82.45,overcast clouds,-12.7408,-38.6208,Pousada Bella Madre
670,Bilma,NE,70.92,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
671,Eyl,SO,76.21,clear sky,7.9803,49.8164,Amiin Hotel
672,Vung Tau,VN,74.95,broken clouds,10.346,107.0843,Green hotel
673,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
674,Ritchie,ZA,65.41,moderate rain,-29.038,24.6028,Riverside Country Club Modderrivier
675,Ngunguru,NZ,70.16,light rain,-35.6167,174.5,Pacific Rendezvous Motel Resort
678,Gizo,SB,83.48,overcast clouds,-8.103,156.8419,Imagination Island
679,Mankono,CI,80.78,broken clouds,8.0586,-6.1897,Hôtel cotonputeur
680,Bodden Town,KY,84.2,few clouds,19.2833,-81.25,Will T Place
681,La Libertad,EC,76.66,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
685,Salinopolis,BR,79.29,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
690,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
693,Hobyo,SO,78.48,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
694,Jasper,US,72.27,scattered clouds,37.2001,-94.3502,Guest House Motel
696,Lindi,TZ,74.26,clear sky,-10.0,39.7167,Lindi paradise house
701,Imbituba,BR,71.49,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
